epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,237.927,1.01315,0.74229,1.00971,0.88928,0.83366,0.9214,0.61239,1.19396,0.56103,1.31365,0.00176745,0.00176745,0.00176745
85,278.463,0.99323,0.70969,1.00375,0.8701,0.84,0.91811,0.61405,1.17652,0.57081,1.29919,0.0017526,0.0017526,0.0017526
86,318.575,0.97246,0.6904,0.99766,0.80258,0.8955,0.91484,0.61365,1.19023,0.55762,1.29796,0.00173775,0.00173775,0.00173775
87,358.186,0.94716,0.64772,0.98824,0.85669,0.85071,0.92183,0.64015,1.15377,0.75967,1.28021,0.0017229,0.0017229,0.0017229
88,397.828,0.94458,0.67162,0.97457,0.87272,0.87268,0.94169,0.62722,1.1476,0.5501,1.279,0.00170805,0.00170805,0.00170805
89,437.532,0.93715,0.63505,0.97024,0.83432,0.85484,0.89111,0.60062,1.1667,0.56425,1.30194,0.0016932,0.0016932,0.0016932
90,477.226,0.93329,0.62454,0.96867,0.86425,0.85667,0.90749,0.62248,1.16647,0.53602,1.28979,0.00167835,0.00167835,0.00167835
91,517.032,0.92499,0.62868,0.96023,0.8664,0.87546,0.89599,0.60701,1.17678,0.57799,1.3014,0.0016635,0.0016635,0.0016635
92,556.945,0.9282,0.64508,0.97166,0.87187,0.84534,0.89644,0.60605,1.19176,0.58403,1.31723,0.00164865,0.00164865,0.00164865
93,596.609,0.91079,0.60694,0.96545,0.88731,0.8376,0.94598,0.63247,1.16998,0.5467,1.29827,0.0016338,0.0016338,0.0016338
94,636.646,0.91371,0.61556,0.95821,0.85587,0.8752,0.93073,0.61852,1.16684,0.53126,1.30356,0.00161895,0.00161895,0.00161895
95,675.819,0.90176,0.60675,0.96287,0.86318,0.85106,0.93838,0.65241,1.16476,0.58142,1.30243,0.0016041,0.0016041,0.0016041
96,715.045,0.91514,0.61798,0.97097,0.85639,0.88762,0.90307,0.62949,1.16391,0.56547,1.29722,0.00158925,0.00158925,0.00158925
97,754.321,0.92198,0.63072,0.96185,0.82122,0.89237,0.8953,0.60436,1.18492,0.57355,1.31213,0.0015744,0.0015744,0.0015744
98,793.583,0.90606,0.60668,0.95733,0.83144,0.88644,0.90366,0.62114,1.17594,0.54545,1.31145,0.00155955,0.00155955,0.00155955
99,832.823,0.88573,0.5948,0.95161,0.8538,0.88879,0.91485,0.6242,1.16417,0.56845,1.31462,0.0015447,0.0015447,0.0015447
100,872.957,0.89203,0.59811,0.94808,0.84143,0.88974,0.87548,0.59029,1.15871,0.55338,1.30506,0.00152985,0.00152985,0.00152985
101,912.464,0.90388,0.60316,0.95751,0.82059,0.89968,0.88342,0.58202,1.15804,0.55319,1.30982,0.001515,0.001515,0.001515
102,952.854,0.88654,0.59609,0.9479,0.86116,0.83884,0.90294,0.61491,1.14478,0.56455,1.30605,0.00150015,0.00150015,0.00150015
103,993.258,0.88571,0.59215,0.94648,0.86088,0.87752,0.90602,0.61043,1.16656,0.57627,1.32166,0.0014853,0.0014853,0.0014853
104,1033.5,0.88526,0.58394,0.95476,0.89285,0.83232,0.88728,0.6006,1.13515,0.54298,1.29123,0.00147045,0.00147045,0.00147045
105,1073.65,0.86486,0.57284,0.93954,0.85378,0.86505,0.86931,0.60247,1.14372,0.54567,1.29917,0.0014556,0.0014556,0.0014556
106,1114.04,0.86572,0.56686,0.947,0.87878,0.8786,0.89245,0.62545,1.15255,0.54281,1.32132,0.00144075,0.00144075,0.00144075
107,1153.96,0.8676,0.57199,0.94302,0.81561,0.89186,0.92247,0.6372,1.1414,0.54413,1.29059,0.0014259,0.0014259,0.0014259
108,1194.21,0.86068,0.57135,0.94244,0.88785,0.8433,0.90658,0.63275,1.13802,0.57358,1.29708,0.00141105,0.00141105,0.00141105
109,1234.67,0.86131,0.5711,0.94133,0.85075,0.84644,0.89687,0.62632,1.13384,0.53203,1.29469,0.0013962,0.0013962,0.0013962
110,1274.71,0.86072,0.57709,0.93952,0.89034,0.86349,0.89602,0.62563,1.14892,0.53236,1.29742,0.00138135,0.00138135,0.00138135
111,1315.6,0.85209,0.55389,0.93771,0.8557,0.88506,0.8862,0.62799,1.12713,0.538,1.27751,0.0013665,0.0013665,0.0013665
112,1356.96,0.84863,0.55346,0.92951,0.8831,0.87104,0.89591,0.63243,1.14452,0.5138,1.2999,0.00135165,0.00135165,0.00135165
113,1398.07,0.86011,0.55498,0.93861,0.83761,0.88672,0.88863,0.62282,1.12851,0.54268,1.28909,0.0013368,0.0013368,0.0013368
114,1439.23,0.85146,0.548,0.93668,0.85523,0.87717,0.9207,0.62889,1.12973,0.51351,1.28982,0.00132195,0.00132195,0.00132195
115,1479.79,0.84243,0.54054,0.93169,0.85556,0.86831,0.88623,0.61139,1.15878,0.53157,1.30835,0.0013071,0.0013071,0.0013071
116,1521.54,0.84746,0.54033,0.92982,0.86402,0.87767,0.90599,0.63888,1.15216,0.55505,1.31116,0.00129225,0.00129225,0.00129225
117,1561.5,0.84218,0.53902,0.93794,0.85678,0.89177,0.90961,0.63033,1.14312,0.56115,1.30767,0.0012774,0.0012774,0.0012774
118,1601.59,0.85006,0.54322,0.92961,0.85045,0.90217,0.92331,0.64076,1.12827,0.53909,1.28782,0.00126255,0.00126255,0.00126255
119,1641.38,0.84377,0.53778,0.93182,0.8753,0.88457,0.90854,0.64845,1.13254,0.54569,1.28637,0.0012477,0.0012477,0.0012477
120,1681.11,0.8421,0.53516,0.92811,0.87361,0.85063,0.90978,0.63406,1.13803,0.52486,1.29545,0.00123285,0.00123285,0.00123285
121,1720.91,0.81658,0.51105,0.92199,0.86424,0.87356,0.88859,0.617,1.11427,0.54357,1.29099,0.001218,0.001218,0.001218
122,1760.7,0.81344,0.52752,0.92217,0.79068,0.89507,0.87035,0.61206,1.12744,0.55991,1.29128,0.00120315,0.00120315,0.00120315
123,1800.24,0.81456,0.53355,0.929,0.85456,0.88235,0.87675,0.59742,1.14649,0.54071,1.31432,0.0011883,0.0011883,0.0011883
124,1840.24,0.82307,0.52949,0.92022,0.82763,0.88617,0.91253,0.63298,1.10754,0.52365,1.28196,0.00117345,0.00117345,0.00117345
125,1879.89,0.80847,0.51975,0.91781,0.78484,0.90295,0.85658,0.58915,1.13646,0.56495,1.30397,0.0011586,0.0011586,0.0011586
